YEAR BUILT,PROPERTY TYPE,WARD,COSMETIC EVALUATION,MODERATE RISK EVALUATION,HIGH RISK EVALUATION,CURRENT BUILDING EVAL SCORE
1805,PRIVATE,11,3,2.56,2.62,87
1838,PRIVATE,13,2.8,2.85,2.5,89
1885,PRIVATE,9,2.7,2.86,2.75,93
1885,PRIVATE,13,2.9,2.6,2.73,89
1888,PRIVATE,13,2.67,2.63,2.79,90
1890,PRIVATE,11,2.5,2.29,2.27,77
1898,PRIVATE,11,2,2,2.09,68
1900,PRIVATE,4,1.8,2.13,2.54,77
1900,PRIVATE,4,2.1,1.93,2.25,70
1900,PRIVATE,8,2.6,2.12,2.5,78
1900,PRIVATE,13,2.6,2.13,2.36,76
1900,PRIVATE,4,2.4,2.5,2.5,83
1900,PRIVATE,4,1.56,2.38,2.42,78
1900,PRIVATE,11,1.56,1.93,2.08,66
1904,PRIVATE,11,1.8,2.36,2.77,85
1905,PRIVATE,11,2.2,2.24,2.38,77
1905,PRIVATE,9,2.9,2.71,2.73,91
1905,PRIVATE,19,2.44,2.36,2.5,81
1907,PRIVATE,11,2,2.43,2.93,90
1907,PRIVATE,11,1.33,1.8,2.15,65
1909,PRIVATE,13,3,3,2.86,97
1910,PRIVATE,9,2.2,2.15,2.73,82
1910,PRIVATE,4,2.9,2.53,2.77,89
1910,PRIVATE,13,2.9,2.93,2.92,96
1910,PRIVATE,13,3,3,2.92,99
1911,PRIVATE,9,1.8,2.15,2.45,76
1911,PRIVATE,11,3,2.81,2.86,95
1911,PRIVATE,9,2.89,2.5,2.64,87
1912,PRIVATE,4,2.1,2.08,2.55,77
1912,PRIVATE,10,2.78,2.53,2.77,89
1913,PRIVATE,9,1.6,2.13,2.27,72
1914,PRIVATE,4,2.1,2.36,2.42,79
1914,PRIVATE,4,1.8,2.27,2.47,78
1915,PRIVATE,12,2.9,2.75,2.57,89
1915,PRIVATE,14,2.7,2.77,2.64,89
1917,PRIVATE,4,2.1,2.23,2.27,75
1917,PRIVATE,13,2.7,2.5,2.23,79
1917,PRIVATE,4,2.6,2.57,2.64,87
1918,PRIVATE,12,2.4,2.8,2.64,90
1918,PRIVATE,12,2,2.13,2.31,74
1918,PRIVATE,13,3,2.93,2.69,94
1918,PRIVATE,4,3,2.85,2.58,90
1918,PRIVATE,12,1.44,1.93,2.15,66
1919,PRIVATE,11,1.11,1.93,2.46,72
1920,PRIVATE,11,1.9,1.87,2.71,78
1920,PRIVATE,19,1.5,1.93,2.31,70
1920,PRIVATE,13,2.7,2.65,2.5,86
1920,PRIVATE,19,1.7,2.21,2.62,80
1920,PRIVATE,12,2.4,2.54,2.92,90
1920,PRIVATE,12,2.6,2.87,2.69,92
1920,PRIVATE,19,1.8,2,2.46,75
1920,PRIVATE,20,2.6,2.71,2.67,89
1920,PRIVATE,13,2.9,2.6,2.67,89
1920,PRIVATE,12,3,2.8,2.45,88
1920,PRIVATE,13,3,3,2.86,97
1920,PRIVATE,4,2.78,2.73,2.83,93
1920,PRIVATE,12,2.78,2.29,2.67,84
1920,PRIVATE,12,1.89,2.57,2.83,89
1920,PRIVATE,12,2.67,2.69,2.85,92
1920,PRIVATE,14,1.78,2.38,2.54,81
1920,PRIVATE,19,1.22,1.56,2.45,65
1920,PRIVATE,19,2.44,2.36,2.08,74
1920,PRIVATE,19,1.33,2.07,2.45,74
1920,PRIVATE,19,0.89,1.94,2.75,76
1921,PRIVATE,14,1.2,2.27,2.75,81
1921,PRIVATE,12,2.2,2.79,2.93,94
1922,PRIVATE,4,1.5,1.79,2.1,64
1922,PRIVATE,14,2.38,2.8,2.64,90
1923,PRIVATE,9,1.7,2,2.36,72
1923,PRIVATE,12,2.4,2.07,2.36,75
1923,PRIVATE,4,2.8,2.53,2.92,91
1923,PRIVATE,13,3,3,2.91,98
1923,PRIVATE,13,3,2.93,3,99
1923,PRIVATE,19,1.67,2.6,2.75,87
1924,PRIVATE,9,2,1.86,2.08,65
1924,PRIVATE,4,1.7,2.08,2,67
1925,PRIVATE,13,2.3,2.29,2.25,76
1925,PRIVATE,19,1.7,2.53,2.27,78
1925,PRIVATE,19,1.8,2.43,2.55,81
1925,PRIVATE,12,1.9,2.43,2.86,88
1925,PRIVATE,12,3,2.64,2.75,91
1925,PRIVATE,12,1.44,1.6,1.67,54
1925,PRIVATE,19,2,2.4,2.21,76
1925,PRIVATE,19,2.11,2.81,2.64,89
1926,PRIVATE,14,2.1,1.87,2.55,74
1926,PRIVATE,12,2,2.23,2.57,79
1926,PRIVATE,12,2.9,2.73,2.73,91
1926,PRIVATE,9,2.33,2.33,2.18,75
1926,PRIVATE,12,2.89,2.56,2.75,89
1926,PRIVATE,12,2.78,2.75,2.67,90
1926,PRIVATE,12,2.33,2.75,2.85,92
1926,PRIVATE,13,2.89,2.69,2.62,89
1927,PRIVATE,14,2.1,2.31,2.75,85
1927,PRIVATE,12,1.6,2.38,2.64,82
1927,PRIVATE,12,2.7,2.87,2.67,91
1927,PRIVATE,13,1.9,2.29,2.73,83
1927,PRIVATE,19,2.7,2.36,2.45,81
1927,PRIVATE,11,2.2,2.21,2.42,77
1927,PRIVATE,12,2.8,2.8,2.53,88
1927,PRIVATE,13,2.9,2.87,2.86,95
1927,PRIVATE,12,2,1.53,1.85,58
1927,PRIVATE,13,2.67,2.8,2.77,93
1928,PRIVATE,12,1.3,2.07,2.14,69
1928,PRIVATE,19,2.3,2.43,2.5,82
1928,PRIVATE,12,2.8,2.67,2.56,87
1928,PRIVATE,13,2.6,2.8,2.58,89
1928,PRIVATE,13,2.8,2.86,2.5,89
1928,PRIVATE,13,2.9,2.93,2.82,96
