YEAR BUILT,PROPERTY TYPE,LATITUDE,LONGITUDE,COSMETIC,HIGH,MODERATE,OVERALL
1954,PRIVATE,43.6833549123,-79.4823636932,0.2,0.7,0.2,17
1958,PRIVATE,43.7734165941,-79.4148210265,0.2,0.9,0.2,23
1967,TCHC,43.684753015,-79.295439716,0,1.4,0.6,37
1926,PRIVATE,43.646503767,-79.41168935,1.4,1.1,1.4,42
1960,PRIVATE,43.689547226,-79.386015093,0.6,1.8,0.7,42
1964,PRIVATE,43.7423318181,-79.3064455289,0.5,1.8,0.6,43
1915,PRIVATE,43.643015827,-79.425801126,1,1.5,1.3,46
1992,SOCIAL HOUSING,43.669760121,-79.458975993,0.7,1.8,0.8,46
1918,PRIVATE,43.674829239,-79.404270792,1.1,1.8,1.3,49
1970,PRIVATE,43.769665303,-79.383119544,0.3,2.1,0.5,49
1968,PRIVATE,43.733936256,-79.484144321,0.7,2,1.1,50
1972,PRIVATE,43.729684498,-79.483176142,2,1.5,1.4,50
1951,PRIVATE,43.678247289,-79.440459346,1.4,1.8,1.3,51
1966,PRIVATE,43.703305875,-79.298174928,2.4,1.6,1.2,51
2024,PRIVATE,43.665530372,-79.462449385,0.4,1.6,1.6,51
1898,PRIVATE,43.666610495,-79.400824313,1.3,1.8,1.4,53
1969,PRIVATE,43.663368073,-79.358462264,1.3,2,1.4,55
1919,PRIVATE,43.666740032,-79.404199734,1,1.8,1.6,56
1965,PRIVATE,43.671588843,-79.324094142,1.3,1.8,1.4,56
1929,PRIVATE,43.680489736,-79.430205433,1.1,1.7,1.6,57
1951,PRIVATE,43.664676724,-79.524011119,1,2.1,1.5,57
1959,PRIVATE,43.713971712,-79.452927496,1.7,1.5,1.8,57
1960,PRIVATE,43.7283659321,-79.228113442,1.6,2,1.3,57
1994,SOCIAL HOUSING,43.6499453573,-79.411506674,0.8,1.9,1.6,57
1890,PRIVATE,43.669877229,-79.403530164,1.3,2,1.3,58
1927,PRIVATE,43.682454983,-79.425041007,1.9,1.8,1.5,58
1950,PRIVATE,43.733074568,-79.48394906,1.4,1.9,1.6,58
1914,PRIVATE,43.656018789,-79.3969267,1.3,1.9,1.5,59
1937,PRIVATE,43.6969498333,-79.4236449514,1.5,1.9,1.5,59
1950,PRIVATE,43.705683574,-79.402178392,1.7,1.9,1.7,60
1960,PRIVATE,43.7023837133,-79.4491090339,1.1,2.1,1.7,60
2006,TCHC,43.662405994,-79.360720129,2.4,1.9,1.5,60
2024,PRIVATE,43.670502765,-79.296702565,1.2,2.2,1.4,60
1937,PRIVATE,43.735134254,-79.405173359,1.6,1.8,1.7,61
1946,PRIVATE,43.689891751,-79.393928595,0.9,2.2,1.6,61
1950,PRIVATE,43.6396095695,-79.4936460031,1.5,1.7,2,61
1959,PRIVATE,43.706994795,-79.295836771,1.8,1.9,1.9,62
1968,PRIVATE,43.699908301,-79.318033445,2.5,1.9,1.6,62
1968,PRIVATE,43.6992765737,-79.56164594,1.4,2.2,1.5,62
1970,PRIVATE,43.596459206,-79.52334655,1.6,1.9,1.8,62
1985,PRIVATE,43.654019244,-79.397253793,1.7,2.2,1.7,62
1930,PRIVATE,43.652964888,-79.426359166,1.8,2,1.8,63
1952,PRIVATE,43.701846021,-79.253208949,1.7,2,1.9,63
1957,PRIVATE,43.731796593,-79.437939362,1.2,2.4,1.5,63
1964,PRIVATE,43.747847351,-79.437054115,1.6,2.1,1.9,63
1968,PRIVATE,43.670727396,-79.401650658,0.8,2.2,1.6,63
1957,PRIVATE,43.731256414,-79.438819074,1.9,2.1,1.7,64
1958,PRIVATE,43.7030805404,-79.4402317594,2.2,2,1.7,64
1960,PRIVATE,43.704347801,-79.297293072,1.2,2.1,1.7,64
1967,PRIVATE,43.7796385627,-79.2967399834,1.1,2.3,1.8,64
1988,SOCIAL HOUSING,43.6582200015,-79.3706451728,2.3,2.1,1.7,64
1907,PRIVATE,43.66211133,-79.412263301,1.2,2.2,1.8,65
1940,PRIVATE,43.6464968961,-79.4493527834,1,2.4,1.7,65
1955,PRIVATE,43.592753609,-79.527402159,2.2,2,1.9,65
1956,PRIVATE,43.732486121,-79.437718612,1.3,2.5,1.4,65
1957,PRIVATE,43.730853454,-79.483373915,1.6,2.2,1.8,65
1958,PRIVATE,43.712270431,-79.460829068,1.7,1.9,1.9,65
1959,PRIVATE,43.690434125,-79.448380394,1.9,2.2,1.7,65
1960,PRIVATE,43.6895758413,-79.4611447354,0.8,2.4,1.6,65
1966,PRIVATE,43.7151786936,-79.3352789539,1.8,2.1,1.7,65
1967,PRIVATE,43.717205556,-79.336050418,1.5,2.1,1.6,65
1976,PRIVATE,43.786853839,-79.197805135,2.3,2.2,1.8,65
1924,PRIVATE,43.652353021,-79.426228273,1.9,2.1,1.8,66
1945,PRIVATE,43.683920089,-79.443972936,2.4,2.2,1.8,66
1950,PRIVATE,43.686606905,-79.42001302,1.6,2.1,2,66
1953,PRIVATE,43.7048505726,-79.2968176488,1.5,2.1,1.7,66
1954,PRIVATE,43.58885411,-79.539116113,1.5,1.8,2.1,66
1955,PRIVATE,43.635636114,-79.48740339,1.1,2.2,2,66
1956,PRIVATE,43.7306506832,-79.4380380638,2.6,2.2,1.6,66
1957,PRIVATE,43.697956494,-79.39509423,1.3,2.1,1.9,66
1960,PRIVATE,43.731762015,-79.434811008,1.4,2.2,1.9,66
1960,SOCIAL HOUSING,43.653817451,-79.40412163,2.2,2.3,1.6,66
1960,PRIVATE,43.708919616,-79.310763713,1.8,2.2,1.6,66
1918,PRIVATE,43.690628939,-79.400166183,1.6,2.2,1.9,67
1924,PRIVATE,43.65481696,-79.460940647,1.7,2,2.1,67
1950,PRIVATE,43.692447216,-79.482711179,1.6,2,2.1,67
1950,PRIVATE,43.692294791,-79.482440365,1.6,2,2,67
1951,PRIVATE,43.711124476,-79.308133096,1.6,2.2,1.8,67
1957,PRIVATE,43.7308261841,-79.4370615952,1.7,2.1,1.9,67
1960,PRIVATE,43.689547226,-79.386015093,1.5,2.3,1.6,67
1990,SOCIAL HOUSING,43.66557523,-79.321020795,1.4,2.2,1.5,67
1898,PRIVATE,43.666610495,-79.400824313,2.1,2.1,1.9,68
1940,PRIVATE,43.67961435,-79.436448672,2,2.1,1.9,68
1940,PRIVATE,43.734792041,-79.405012706,2,2.3,1.9,68
1948,TCHC,43.661707767,-79.36326298,2.2,2.3,1.6,68
1952,PRIVATE,43.665076333,-79.523071933,1,2.5,1.7,68
1955,PRIVATE,43.592573632,-79.528276577,2.3,2.1,1.8,68
1959,PRIVATE,43.69067643,-79.448458776,1.7,2.3,1.8,68
1964,PRIVATE,43.7176295755,-79.5558080485,2.3,2.1,2,68
1975,TCHC,43.659278057,-79.371049668,2.1,2.2,1.7,68
1895,PRIVATE,43.655848559,-79.404681489,1.8,2.1,2.2,69
1910,PRIVATE,43.666758158,-79.371599011,1.5,2.3,1.9,69
1928,PRIVATE,43.684456938,-79.420554524,1.3,2.1,2,69
1950,PRIVATE,43.7110804111,-79.4781906555,1.2,2.3,1.9,69
1952,PRIVATE,43.686853005,-79.42287074,1.8,1.9,2.4,69
1953,PRIVATE,43.731422676,-79.462207826,2.6,2.5,1.6,69
1955,PRIVATE,43.701674225,-79.476929494,1.7,2.2,2.1,69
1956,PRIVATE,43.7307078351,-79.4377714103,1.4,2.2,1.8,69
1956,PRIVATE,43.7307078351,-79.4377714103,1.6,2.4,1.9,69
1956,PRIVATE,43.733248379,-79.434101632,1.7,2.3,1.7,69
1959,PRIVATE,43.706994795,-79.295836771,2.5,2.1,1.9,69
1960,PRIVATE,43.760276601,-79.289405137,1.9,2.2,2.1,69
1964,PRIVATE,43.7404974664,-79.3102350058,1.5,2.4,1.6,69
1969,TCHC,43.651687962,-79.400557945,2.4,2.3,1.8,69
1969,PRIVATE,43.6598447463,-79.3804771262,2.1,2.1,1.9,69
1978,TCHC,43.657174343,-79.370798412,2.2,2.1,1.8,69
1988,PRIVATE,43.656693312,-79.403904864,0.9,2.4,1.8,69
2024,PRIVATE,43.651593328,-79.390062452,1.2,2.6,1.6,69
1900,PRIVATE,43.636657078,-79.440488524,1.9,2.3,2,70
1918,PRIVATE,43.680695002,-79.416986377,2.2,1.8,2.5,70
1920,PRIVATE,43.672498883,-79.286873829,1.4,2.3,1.8,70
1930,PRIVATE,43.702327897,-79.39779527,1.6,2.1,2.2,70
1950,PRIVATE,43.6740184548,-79.3778037961,1.3,2.5,1.8,70
1952,PRIVATE,43.684753041,-79.44430348,1.6,2.1,2.1,70
1953,PRIVATE,43.709807141,-79.506392165,1.8,2.2,2.2,70
1954,PRIVATE,43.709683809,-79.506895032,1.6,2.2,2.1,70
1954,PRIVATE,43.743414057,-79.437004804,1.7,2.4,1.7,70
1955,PRIVATE,43.6112488436,-79.4897028689,1.6,2.3,1.7,70
1956,PRIVATE,43.7301212379,-79.4376331135,1.1,2.3,1.9,70
1957,PRIVATE,43.602799026,-79.516485293,1.4,2.3,1.9,70
1960,PRIVATE,43.708536314,-79.311061193,2.2,2.3,1.7,70
1966,PRIVATE,43.7610772976,-79.5211616748,2.4,2.1,1.9,70
1967,PRIVATE,43.727241252,-79.485292328,1.9,2.3,1.9,70
1969,PRIVATE,43.673636335,-79.391647025,1.8,2.4,1.7,70
1969,PRIVATE,43.7812689661,-79.2952353294,2.3,2.5,1.6,70
1992,TCHC,43.67824727,-79.302446163,1.3,2.8,1.5,70
2006,PRIVATE,43.666313356,-79.446687913,2.1,2.3,2.1,70
2006,TCHC,43.662770772,-79.35927116,2.4,2.1,1.9,70
1930,PRIVATE,43.649399074,-79.408574346,2.1,2.3,2,71
1952,PRIVATE,43.684405439,-79.444159444,1.1,2.5,1.9,71
1954,PRIVATE,43.718310388,-79.435578125,1.6,2.3,2.1,71
1958,PRIVATE,43.715203739,-79.359687151,1.9,2.2,2.1,71
1960,PRIVATE,43.663699651,-79.502334704,1.6,2.1,2.2,71
1962,PRIVATE,43.698879085,-79.561991634,1.9,2.4,1.8,71
1967,PRIVATE,43.645866294,-79.449359089,1.2,2.5,1.8,71
1968,PRIVATE,43.733936256,-79.484144321,2.6,2.1,2.1,71
1969,PRIVATE,43.7322696922,-79.2741030573,1.7,2,2.1,71
1969,PRIVATE,43.646072995,-79.449425236,1.4,2.5,1.9,71
1993,TCHC,43.652655724,-79.39647886,2.2,2.1,2.2,71
1913,PRIVATE,43.675054533,-79.433043883,1.7,2.3,2.1,72
1923,PRIVATE,43.688928335,-79.412029113,2.3,2.2,2.2,72
1930,PRIVATE,43.672312017,-79.287748332,1.1,2.4,1.9,72
1937,PRIVATE,43.696142079,-79.449199473,2.7,2.2,2,72
1950,PRIVATE,43.760619139,-79.289719302,1.7,2.3,2,72
1954,PRIVATE,43.743251851,-79.43682179,2.4,2.4,1.9,72
1956,PRIVATE,43.6921471253,-79.4794625352,2,2.1,2.3,72
1957,PRIVATE,43.730853454,-79.483373915,2.2,1.9,2.4,72
1962,PRIVATE,43.749166994,-79.278961956,1.7,2.5,1.8,72
1964,PRIVATE,43.747847351,-79.437054115,2.5,2.1,2.4,72
1965,PRIVATE,43.704340418,-79.523798332,1.7,2.3,2.1,72
1967,PRIVATE,43.70347896,-79.34026593,2.5,2.3,1.9,72
1968,PRIVATE,43.6641619553,-79.3792187274,1.8,2.4,2.1,72
1970,PRIVATE,43.667917594,-79.31255405,2.4,2.1,2.2,72
1970,PRIVATE,43.667724652,-79.31265581,2.1,2.2,2.1,72
2006,PRIVATE,43.666313356,-79.446687913,2.4,2.2,2.1,72
1911,PRIVATE,43.649465465,-79.432097969,2.1,2.4,1.9,73
1917,PRIVATE,43.666349498,-79.381871851,2.4,2.3,1.9,73
1920,PRIVATE,43.671483361,-79.407341157,2.7,2.2,2.2,73
