BREAK_DATE,BREAK_YEAR,LON,LAT
1990/02/07,1990,-79.4423175852,43.7400136761
2009/10/15,2009,-79.5009794759,43.7400357946
2013/12/06,2013,-79.5055756705,43.7400661901
1991/01/14,1991,-79.4485887799,43.74010618
1994/02/09,1994,-79.4313744812,43.7401144945
1990/09/23,1990,-79.5004234467,43.7401374038
2003/08/07,2003,-79.4483707905,43.7401533618
2013/02/01,2013,-79.434206929,43.7401740951
2016/03/29,2016,-79.5029380045,43.7401870459
1990/06/28,1990,-79.4860776683,43.7402067883
2003/10/03,2003,-79.4313428327,43.7402232567
1997/12/24,1997,-79.5048811986,43.7402416263
1997/01/28,1997,-79.4300127952,43.7402453688
1990/03/06,1990,-79.433849117,43.7402526119
2004/02/16,2004,-79.4300111205,43.7402553241
1996/03/03,1996,-79.5048001305,43.7402664289
2013/02/14,2013,-79.4313247434,43.7402872552
1991/08/06,1991,-79.4446001489,43.7402917579
2014/02/26,2014,-79.444504011,43.7403140919
1994/02/05,1994,-79.5100568523,43.7403270824
2015/01/16,2015,-79.5099988404,43.7403400678
1999/12/04,1999,-79.4997524975,43.7403572373
1990/06/16,1990,-79.4997529196,43.7403582725
2001/12/24,2001,-79.5009237302,43.7403779288
2008/03/14,2008,-79.4442250828,43.7403796761
1993/12/25,1993,-79.4991398242,43.7403830048
1994/01/18,1994,-79.5098068781,43.7403830348
1993/11/05,1993,-79.4287844813,43.7403863114
1995/02/11,1995,-79.4991235719,43.7403866944
1999/01/12,1999,-79.4886020044,43.7404038958
2004/07/12,2004,-79.4514118988,43.7404091578
1993/03/20,1993,-79.4404850581,43.7404504698
1993/02/12,1993,-79.4329573721,43.7404510471
2007/07/12,2007,-79.5207353841,43.7404624916
2003/02/17,2003,-79.4304957935,43.7404735061
1997/10/19,1997,-79.5219697439,43.7404878475
1992/01/22,1992,-79.4403184557,43.7404915655
2015/02/25,2015,-79.4309759591,43.7404988438
2002/02/12,2002,-79.4998144139,43.7405078155
2006/03/10,2006,-79.44367202,43.7405097312
2005/02/17,2005,-79.4316392437,43.7405354971
2004/01/17,2004,-79.4434981057,43.7405496248
2004/12/01,2004,-79.5104396686,43.7405519679
2003/04/04,2003,-79.4320857283,43.740558801
1991/12/13,1991,-79.4279637387,43.7405606034
2008/04/06,2008,-79.4321427724,43.7405617791
2011/03/14,2011,-79.4323708992,43.7405736911
2007/07/07,2007,-79.4476767684,43.7405772846
1996/11/17,1996,-79.5233056634,43.7406010114
2010/07/17,2010,-79.5257047447,43.7406087892
2005/02/26,2005,-79.5220133252,43.7406224631
2014/03/19,2014,-79.4904419897,43.7406312447
1995/12/29,1995,-79.4898810244,43.7406409029
2004/02/25,2004,-79.489370089,43.7406487907
1992/01/30,1992,-79.4891660699,43.7406513384
1994/01/29,1994,-79.4394858658,43.740655064
2002/02/06,2002,-79.4905691474,43.7406708983
1993/07/26,1993,-79.4886509109,43.7406759647
2001/01/07,2001,-79.4427698512,43.740684905
2002/02/02,2002,-79.4905738375,43.7407011703
2002/12/01,2002,-79.4884634497,43.7407044895
1993/05/18,1993,-79.4881064422,43.7407588126
2011/01/27,2011,-79.4905918354,43.7407636064
1991/12/05,1991,-79.5184055442,43.7407984755
1991/11/08,1991,-79.4877253357,43.7408167956
2010/12/14,2010,-79.5011142381,43.740830397
1992/10/27,1992,-79.5208449445,43.7408824826
1991/01/13,1991,-79.4382135716,43.7408896414
2001/10/10,2001,-79.5255749069,43.7408970633
1997/12/06,1997,-79.4871618562,43.7409006358
2001/01/02,2001,-79.5255733199,43.7409019064
2008/11/16,2008,-79.5105918363,43.7409155781
2004/01/21,2004,-79.5106012887,43.7409382329
2001/12/30,2001,-79.4463514684,43.7409484617
1992/03/25,1992,-79.4919255309,43.7409601183
1999/10/29,1999,-79.4866776094,43.7409725547
2000/11/29,2000,-79.5149628514,43.7410006433
2011/11/21,2011,-79.5208803978,43.741018368
2008/02/11,2008,-79.4345025554,43.7410420098
2015/02/17,2015,-79.4390133918,43.7410460383
1992/12/22,1992,-79.4453279242,43.7410708626
2011/02/01,2011,-79.5208945951,43.7410727807
2008/02/03,2008,-79.4464902463,43.7410800258
1999/01/17,1999,-79.4390542662,43.7410865249
2006/09/29,2006,-79.525552325,43.7410962169
2007/08/11,2007,-79.5255542213,43.741117253
1993/05/27,1993,-79.4420438882,43.7411239582
2013/02/21,2013,-79.440494343,43.7411324915
1994/11/17,1994,-79.5094811498,43.7411505131
1993/01/12,1993,-79.4391613093,43.7411925614
2003/02/20,2003,-79.4391628846,43.7411941285
1997/05/25,1997,-79.5141270224,43.7412006669
1998/08/10,1998,-79.5141121249,43.7412042784
1997/02/02,1997,-79.444938773,43.7412174112
1992/10/22,1992,-79.5185068109,43.7412230428
