First Name,Last Name,MTG #,Session Date,Session Type,Present
Paul,Ainslie,1,2022-11-23,Afternoon,Y
Brad,Bradford,1,2022-11-23,Afternoon,Y
Alejandra,Bravo,1,2022-11-23,Afternoon,Y
Jon,Burnside,1,2022-11-23,Afternoon,Y
Shelley,Carroll,1,2022-11-23,Afternoon,Y
Lily,Cheng,1,2022-11-23,Afternoon,Y
Mike,Colle,1,2022-11-23,Afternoon,Y
Gary,Crawford,1,2022-11-23,Afternoon,Y
Vincent,Crisanti,1,2022-11-23,Afternoon,Y
Paula,Fletcher,1,2022-11-23,Afternoon,Y
Stephen,Holyday,1,2022-11-23,Afternoon,Y
Ausma,Malik,1,2022-11-23,Afternoon,Y
Nick,Mantas,1,2022-11-23,Afternoon,Y
Josh,Matlow,1,2022-11-23,Afternoon,Y
Jennifer,McKelvie,1,2022-11-23,Afternoon,Y
Chris,Moise,1,2022-11-23,Afternoon,Y
Amber,Morley,1,2022-11-23,Afternoon,Y
Jamaal,Myers,1,2022-11-23,Afternoon,Y
Frances,Nunziata,1,2022-11-23,Afternoon,Y
James,Pasternak,1,2022-11-23,Afternoon,Y
Gord,Perks,1,2022-11-23,Afternoon,Y
Anthony,Perruzza,1,2022-11-23,Afternoon,Y
Jaye,Robinson,1,2022-11-23,Afternoon,Y
Dianne,Saxe,1,2022-11-23,Afternoon,Y
Michael,Thompson,1,2022-11-23,Afternoon,Y
Paul,Ainslie,1,2022-11-24,Afternoon,Y
Paul,Ainslie,1,2022-11-24,Afternoon,Y
Brad,Bradford,1,2022-11-24,Afternoon,Y
Brad,Bradford,1,2022-11-24,Afternoon,Y
Alejandra,Bravo,1,2022-11-24,Afternoon,Y
Alejandra,Bravo,1,2022-11-24,Afternoon,Y
Jon,Burnside,1,2022-11-24,Afternoon,Y
Jon,Burnside,1,2022-11-24,Afternoon,Y
Shelley,Carroll,1,2022-11-24,Afternoon,Y
Shelley,Carroll,1,2022-11-24,Afternoon,Y
Lily,Cheng,1,2022-11-24,Afternoon,Y
Lily,Cheng,1,2022-11-24,Afternoon,Y
Mike,Colle,1,2022-11-24,Afternoon,Y
Mike,Colle,1,2022-11-24,Afternoon,Y
Gary,Crawford,1,2022-11-24,Afternoon,Y
Gary,Crawford,1,2022-11-24,Afternoon,Y
Vincent,Crisanti,1,2022-11-24,Afternoon,Y
Vincent,Crisanti,1,2022-11-24,Afternoon,Y
Paula,Fletcher,1,2022-11-24,Afternoon,Y
Paula,Fletcher,1,2022-11-24,Afternoon,Y
