ORGANIZATION_NAME,SECTOR,OCCUPIED_BEDS,UNOCCUPIED_BEDS
Christie Ossington Neighbourhood Centre,Mixed Adult,6,16
Christie Ossington Neighbourhood Centre,Mixed Adult,7,16
Dixon Hall,Mixed Adult,18,28
Christie Ossington Neighbourhood Centre,Mixed Adult,10,13
City of Toronto,Mixed Adult,21,27
Christie Ossington Neighbourhood Centre,Mixed Adult,8,10
Fred Victor Centre,Mixed Adult,12,13
Homes First Society,Men,3,3
Homes First Society,Women,2,2
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Covenant House Toronto,Youth,1,1
Dixon Hall,Mixed Adult,21,19
Fred Victor Centre,Mixed Adult,6,5
Fred Victor Centre,Mixed Adult,25,17
Fife House Foundation,Mixed Adult,7,4
Fife House Foundation,Mixed Adult,7,4
Fife House Foundation,Mixed Adult,7,4
Fife House Foundation,Mixed Adult,7,4
Fife House Foundation,Mixed Adult,7,4
Fife House Foundation,Mixed Adult,7,4
Fife House Foundation,Mixed Adult,7,4
Dixon Hall,Mixed Adult,30,16
City of Toronto,Men,12,6
City of Toronto,Men,12,6
City of Toronto,Men,12,6
City of Toronto,Men,12,6
Native Child & Family Services Toronto,Youth,10,5
Native Child & Family Services Toronto,Youth,10,5
Native Child & Family Services Toronto,Youth,10,5
Native Child & Family Services Toronto,Youth,10,5
City of Toronto,Mixed Adult,20,10
Dixon Hall,Mixed Adult,13,6
Christie Ossington Neighbourhood Centre,Mixed Adult,9,4
Dixon Hall,Mixed Adult,32,14
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
City of Toronto,Men,13,5
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Native Child & Family Services Toronto,Youth,11,4
Fred Victor Centre,Mixed Adult,43,15
Homes First Society,Women,3,1
Homes First Society,Women,3,1
Homes First Society,Women,3,1
Youth Without Shelter,Youth,25,8
Youth Without Shelter,Youth,25,8
Na-Me-Res (Native Men's Residence),Men,13,4
Na-Me-Res (Native Men's Residence),Men,13,4
Fred Victor Centre,Mixed Adult,46,14
City of Toronto,Mixed Adult,37,11
City of Toronto,Mixed Adult,37,11
Dixon Hall,Mixed Adult,14,4
City of Toronto,Men,14,4
City of Toronto,Men,14,4
City of Toronto,Men,14,4
City of Toronto,Men,14,4
City of Toronto,Men,14,4
City of Toronto,Men,14,4
