PROPERTY TYPE,YEAR BUILT,CONFIRMED UNITS,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
PRIVATE,1954,10,17,43.6833549123,-79.4823636932
TCHC,1954,36,28,43.6747928439,-79.3073203588
PRIVATE,1934,15,30,43.6722400679,-79.3102957191
TCHC,1967,38,37,43.6847616076,-79.2954429245
PRIVATE,1955,36,42,43.689555816,-79.3860183305
PRIVATE,1964,103,43,43.7423318181,-79.3064455289
SOCIAL HOUSING,1992,13,46,43.669760121,-79.458975993
PRIVATE,1925,11,54,43.682584046,-79.425180892
PRIVATE,1990,15,54,43.6810655936,-79.3460950974
PRIVATE,1980,37,55,43.683765055,-79.391818533
PRIVATE,1965,12,56,43.671588843,-79.324094142
PRIVATE,1970,12,57,43.662511227,-79.417002758
SOCIAL HOUSING,1994,18,57,43.6499453573,-79.411506674
PRIVATE,1927,11,58,43.682454983,-79.425041007
PRIVATE,1970,29,62,43.5964677735,-79.5233498233
PRIVATE,1985,24,62,43.654019244,-79.397253793
PRIVATE,1968,105,63,43.670727396,-79.401650658
PRIVATE,1922,16,64,43.639101299,-79.44211187
PRIVATE,1960,62,64,43.704347801,-79.297293072
PRIVATE,1964,12,64,43.675371432,-79.31815704
PRIVATE,1964,80,64,43.7176295755,-79.5558080485
PRIVATE,1967,325,64,43.717205556,-79.336050418
PRIVATE,1907,11,65,43.66211133,-79.412263301
PRIVATE,1920,29,65,43.6730490225,-79.2843149122
PRIVATE,1955,21,65,43.5927621745,-79.527405433
PRIVATE,1955,58,65,43.701461008,-79.440472942
PRIVATE,1958,12,65,43.668927772,-79.315350573
PRIVATE,1966,284,65,43.7151786936,-79.3352789539
PRIVATE,1900,16,66,43.672241558,-79.414621827
PRIVATE,1945,26,66,43.683920089,-79.443972936
PRIVATE,1950,40,66,43.692447216,-79.482711179
PRIVATE,1959,84,66,43.706994795,-79.295836771
PRIVATE,1960,21,66,43.6422400128,-79.4533563133
PRIVATE,1960,12,66,43.731762015,-79.434811008
PRIVATE,1924,21,67,43.654816959,-79.460940647
PRIVATE,1939,10,67,43.704097821,-79.365180559
PRIVATE,1940,31,67,43.716861761,-79.400725208
PRIVATE,1950,54,67,43.692294791,-79.482440365
PRIVATE,1951,11,67,43.678247289,-79.440459346
PRIVATE,1951,12,67,43.7111330736,-79.3081363101
PRIVATE,1957,10,67,43.7308261841,-79.4370615952
PRIVATE,1967,416,67,43.757066149,-79.426922307
SOCIAL HOUSING,1990,25,67,43.66557523,-79.321020795
PRIVATE,1898,42,68,43.666610495,-79.400824313
PRIVATE,1929,60,68,43.665901023,-79.381806918
PRIVATE,1950,12,68,43.7110804111,-79.4781906555
PRIVATE,1959,18,68,43.69067643,-79.448458776
PRIVATE,1970,59,68,43.6871475081,-79.3130882633
PRIVATE,1984,11,68,43.719614507,-79.4809196284
PRIVATE,1928,32,69,43.6844655265,-79.4205577721
SOCIAL HOUSING,1930,19,69,43.6830936206,-79.4174370824
PRIVATE,1953,28,69,43.6921996331,-79.4792336091
PRIVATE,1955,42,69,43.6112488436,-79.4897028689
PRIVATE,1956,15,69,43.7307078351,-79.4377714103
PRIVATE,1964,204,69,43.7404974664,-79.3102350058
TCHC,1992,108,69,43.67824727,-79.302446163
PRIVATE,1900,15,70,43.636657078,-79.440488524
PRIVATE,1920,24,70,43.6725074759,-79.286877033
PRIVATE,1930,10,70,43.702327897,-79.39779527
PRIVATE,1947,34,70,43.711639,-79.394802088
PRIVATE,1950,10,70,43.6934431734,-79.4823929149
PRIVATE,1951,11,70,43.7109797077,-79.3082535422
PRIVATE,1953,11,70,43.7098157296,-79.5063954435
PRIVATE,1954,11,70,43.7096923975,-79.5068983102
PRIVATE,1956,11,70,43.7301212379,-79.4376331135
PRIVATE,1960,18,70,43.65203632,-79.426145736
PRIVATE,1967,118,70,43.7272498456,-79.4852956
PRIVATE,1969,26,70,43.673636335,-79.391647025
PRIVATE,1969,37,70,43.7812689661,-79.2952353294
PRIVATE,2006,171,70,43.666313356,-79.446687913
PRIVATE,1929,19,71,43.6804983237,-79.4302086848
PRIVATE,1950,33,71,43.6866154943,-79.4200162678
PRIVATE,1950,46,71,43.7606277472,-79.289722515
PRIVATE,1952,29,71,43.6844140268,-79.4441626996
PRIVATE,1954,29,71,43.718310388,-79.435578125
TCHC,1957,31,71,43.721282345,-79.44523975
PRIVATE,1958,16,71,43.715203739,-79.359687151
PRIVATE,1962,10,71,43.722615158,-79.306619676
PRIVATE,1965,21,71,43.6722063299,-79.2908934269
PRIVATE,1968,12,71,43.733936256,-79.484144321
PRIVATE,1969,72,71,43.7322696922,-79.2741030573
PRIVATE,1913,12,72,43.675054533,-79.433043883
PRIVATE,1919,18,72,43.668063591,-79.413898107
PRIVATE,1923,16,72,43.6593044,-79.438898745
PRIVATE,1930,27,72,43.6723206085,-79.2877515365
PRIVATE,1954,11,72,43.743260449,-79.4368250474
PRIVATE,1956,28,72,43.6921471253,-79.4794625352
PRIVATE,1957,12,72,43.7308620481,-79.4833771869
PRIVATE,1964,67,72,43.7478559496,-79.4370573738
PRIVATE,1965,82,72,43.6389025378,-79.4370268337
PRIVATE,1965,41,72,43.7043490054,-79.523801614
PRIVATE,1967,332,72,43.7034875556,-79.3402691534
PRIVATE,1968,96,72,43.6641619553,-79.3792187274
PRIVATE,1970,16,72,43.667724652,-79.31265581
PRIVATE,1940,15,73,43.722781904,-79.4147683838
PRIVATE,1958,26,73,43.6354822227,-79.4882224103
PRIVATE,1960,38,73,43.696203167,-79.446372358
PRIVATE,1960,31,73,43.707880094,-79.302844655
PRIVATE,1960,12,73,43.7361423501,-79.3497718848
PRIVATE,1965,15,73,43.7119743399,-79.4627656492
PRIVATE,1967,245,73,43.6994166431,-79.51287144
PRIVATE,1967,231,73,43.7038823265,-79.4401320066
TCHC,1969,183,73,43.695629657,-79.302310982
PRIVATE,1918,13,74,43.690570503,-79.400460705
PRIVATE,1920,29,74,43.6731276017,-79.2840966944
PRIVATE,1950,34,74,43.69095169,-79.470613783
TCHC,1957,31,74,43.7196194362,-79.4407985931
PRIVATE,1958,11,74,43.698110145,-79.440043712
PRIVATE,1958,26,74,43.717376692,-79.479654033
PRIVATE,1958,10,74,43.735937772,-79.439651849
PRIVATE,1960,90,74,43.635845468,-79.435931917
PRIVATE,1960,40,74,43.6678896371,-79.406592558
PRIVATE,1960,26,74,43.709007221,-79.376131167
PRIVATE,1960,48,74,43.716980201,-79.400164813
PRIVATE,1961,33,74,43.668763043,-79.406936141
PRIVATE,1964,287,74,43.701969776,-79.345105079
PRIVATE,1965,380,74,43.70045036,-79.344507259
PRIVATE,1970,16,74,43.668304546,-79.312459034
TCHC,1970,15,74,43.7631593909,-79.2047559
PRIVATE,1972,11,74,43.7296930914,-79.4831794143
PRIVATE,1972,263,74,43.749810629,-79.543432658
TCHC,1974,48,74,43.729844838,-79.439645351
PRIVATE,1975,291,74,43.773718226,-79.522486744
TCHC,1993,51,74,43.662426775,-79.336914688
TCHC,2008,15,74,43.752199466,-79.543966801
PRIVATE,1917,10,75,43.6396109365,-79.4394716965
PRIVATE,1920,18,75,43.6726703072,-79.2866950453
PRIVATE,1920,16,75,43.6731843525,-79.2839314584
PRIVATE,1923,32,75,43.689052402,-79.41208972
PRIVATE,1926,11,75,43.659758114,-79.434864769
PRIVATE,1928,48,75,43.668210902,-79.381025994
PRIVATE,1940,14,75,43.687961104,-79.269766888
PRIVATE,1950,29,75,43.6852037341,-79.4451995496
PRIVATE,1954,23,75,43.697269464,-79.4763543388
PRIVATE,1956,11,75,43.732489237,-79.434967025
PRIVATE,1957,12,75,43.732993608,-79.435337662
PRIVATE,1958,55,75,43.7207964113,-79.5055990345
PRIVATE,1959,44,75,43.7010486833,-79.4499999014
PRIVATE,1960,12,75,43.693721495,-79.303248784
PRIVATE,1960,26,75,43.696310244,-79.506587145
PRIVATE,1960,10,75,43.7044391867,-79.4423269927
PRIVATE,1960,12,75,43.731056948,-79.463881566
PRIVATE,1960,10,75,43.736011622,-79.439339913
PRIVATE,1961,59,75,43.7351335266,-79.2685742385
PRIVATE,1965,41,75,43.735849503,-79.484562864
PRIVATE,1966,106,75,43.6952829956,-79.4482618257
PRIVATE,1968,12,75,43.692368796,-79.302666418
TCHC,1969,213,75,43.7624910264,-79.2104930971
PRIVATE,1970,24,75,43.651369768,-79.401162282
TCHC,1970,128,75,43.760034357,-79.229764837
SOCIAL HOUSING,1975,77,75,43.7031497325,-79.3474623763
