Estimated_Dollar_Loss,Number_of_responding_personnel,Possible_Cause,TFS_Arrival_Time,Latitude,Longitude
20000,47,52 - Electrical Failure,2020-01-01T00:46:05,43.71523573,-79.23910745
500,22,"98 - Unintentional, cause undetermined",2020-01-01T00:55:17,43.68760327,-79.35415411
100,4,99 - Undetermined,2020-01-01T01:28:08,43.64009483,-79.4902154
50000,73,52 - Electrical Failure,2020-01-01T02:07:19,43.64948288,-79.42582447
100,4,99 - Undetermined,2020-01-01T02:17:49,43.65798494,-79.50939728
20000,59,45 - Improperly Discarded,2020-01-01T05:29:13,43.601538,-79.50889957
100,19,01 - Suspected Arson,2020-01-01T08:46:49,43.60258679,-79.50939817
0,4,99 - Undetermined,2020-01-01T15:38:48,43.65337715,-79.38644587
20,4,01 - Suspected Arson,2020-01-02T05:22:14,43.78163768,-79.41600169
75000,52,11 - Children Playing (Ages 11 and under),2020-01-02T15:22:32,43.64677344,-79.53055376
20000,23,"60 - Other unintentional cause, not classified",2020-01-02T17:24:47,43.73126608,-79.39871261
25000,28,"60 - Other unintentional cause, not classified",2020-01-02T18:03:41,43.64017486,-79.55710117
1000,20,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-01-02T18:32:51,43.63916501,-79.41414298
1000,54,45 - Improperly Discarded,2020-01-03T15:53:59,43.64734755,-79.43727971
30000,12,12 - Vehicle Accident/Collision,2020-01-03T21:31:46,43.71296224,-79.53602784
10000,7,99 - Undetermined,2020-01-04T10:04:21,43.71572914,-79.4676292
40000,23,"98 - Unintentional, cause undetermined",2020-01-04T13:30:30,43.75895044,-79.42255963
1000,21,45 - Improperly Discarded,2020-01-04T22:48:25,43.69314473,-79.29129854
1500,25,45 - Improperly Discarded,2020-01-05T01:55:25,43.7022534,-79.44110905
5000,4,99 - Undetermined,2020-01-05T17:22:04,43.65910071,-79.5098406
50,21,"98 - Unintentional, cause undetermined",2020-01-05T19:22:40,43.75846073,-79.58935332
500,53,50 - Other misuse of ignition source/material ignited,2020-01-05T19:31:02,43.75722998,-79.49169273
1000,21,"28 - Routine maintenance deficiency, eg creosote, lint, grease buildup",2020-01-05T21:16:53,43.66817463,-79.36956195
200000,62,51 - Mechanical Failure,2020-01-06T01:58:34,43.70287807,-79.50383844
1000,22,44 - Unattended,2020-01-06T03:18:54,43.81153367,-79.26066101
10,22,47 - Improper handling of ignition source or ignited material,2020-01-06T09:09:25,43.64101279,-79.41025017
500,29,45 - Improperly Discarded,2020-01-06T17:03:08,43.64537296,-79.39206102
6000,8,51 - Mechanical Failure,2020-01-06T22:27:05,43.70699894,-79.26813002
4000,36,52 - Electrical Failure,2020-01-06T23:10:06,43.64919685,-79.44882506
60000,54,46 - Used or Placed too close to combustibles,2020-01-07T02:13:02,43.78550535,-79.44873497
0,18,45 - Improperly Discarded,2020-01-07T10:03:27,43.69791436,-79.31028383
